X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,distance_2d,distance_travelled,bin
513001.19155582786,7541891.479382955,[0],2.896186666295613,1.6291049997912823,2021-01-08T08:48:25Z,00:00:02,15.31087767,67.99098117,622.8,0,15.31087767,67.99098117,622.8,0,0,0,"[0,100]"
513001.22128642653,7541891.804533496,NA,2.847652959346001,1.6018047896321257,2021-01-08T08:48:26Z,NA,NA,NA,NA,NA,15.31087842,67.99098408500001,622.8,1,0.326506941472301,0.326506941472301,"[0,100]"
513001.2510170172,7541892.129684037,NA,2.7991192523963893,1.5745045794729688,2021-01-08T08:48:27Z,00:00:04,15.31087917,67.990987,622.8,2,15.31087917,67.990987,622.8,2,0.32650694074617514,0.6530138822184761,"[0,100]"
513002.2677666848,7541892.283084183,NA,2.7505855454467776,1.5472043693138122,2021-01-08T08:48:28Z,00:00:06,15.3109035,67.99098833,622.6,3,15.3109035,67.99098833,622.6,3,1.0282565299251976,1.6812704121436737,"[0,100]"
513002.2920915217,7541892.31107971,NA,2.7020518384971655,1.5199041591546556,2021-01-08T08:48:29Z,NA,NA,NA,NA,NA,15.310904085,67.99098857999999,622.7,4,0.03708702217369821,1.718357434317372,"[0,100]"
513002.316416358,7541892.339075244,NA,2.6535181315475533,1.492603948995499,2021-01-08T08:48:30Z,00:00:07,15.31090467,67.99098883,622.8,5,15.31090467,67.99098883,622.8,5,0.03708702733971666,1.7554444616570886,"[0,100]"
513002.60382783454,7541892.693952805,NA,2.6049844245979417,1.465303738836342,2021-01-08T08:48:31Z,NA,NA,NA,NA,NA,15.310911585,67.990992,622.9,6,0.4566655673302806,2.212110028987369,"[0,100]"
513002.8912392319,7541893.048830397,NA,2.55645071764833,1.4380035286771855,2021-01-08T08:48:32Z,00:00:09,15.3109185,67.99099517,623,7,15.3109185,67.99099517,623,7,0.4566655413911595,2.6687755703785285,"[0,100]"
513002.9149582591,7541893.197234911,NA,2.507917010698718,1.4107033185180289,2021-01-08T08:48:33Z,NA,NA,NA,NA,NA,15.310919085,67.9909965,623.05,8,0.15028802970615765,2.8190636000846863,"[0,100]"
513002.9386772835,7541893.345639428,NA,2.4593833037491057,1.383403108358872,2021-01-08T08:48:34Z,00:00:11,15.31091967,67.99099783,623.1,9,15.31091967,67.99099783,623.1,9,0.15028803295299195,2.9693516330376784,"[0,100]"
513002.4998665387,7541893.947721735,[10.23069],2.410849596799494,1.3561028981997154,2021-01-08T08:48:35Z,NA,NA,NA,NA,NA,15.31090925,67.99100325,623,10,0.7450221296151819,3.71437376265286,"[0,100]"
513002.0610559972,7541894.54980411,NA,2.385385438862841,1.341779309360348,2021-01-08T08:48:36Z,00:00:15,15.31089883,67.99100867,622.9,11,15.31089883,67.99100867,622.9,11,0.7450220655231121,4.459395828175972,"[0,100]"
513002.127061172,7541894.605882479,NA,2.359921280926188,1.3274557205209807,2021-01-08T08:48:37Z,NA,NA,NA,NA,NA,15.310900415,67.99100917,623,12,0.0866110070564419,4.546006835232414,"[0,100]"
513002.1930663438,7541894.661960854,NA,2.334457122989535,1.3131321316816136,2021-01-08T08:48:38Z,00:00:17,15.310902,67.99100967,623.1,13,15.310902,67.99100967,623.1,13,0.08661100901516557,4.63261784424758,"[0,100]"
513002.4550058582,7541894.551786032,NA,2.308992965052882,1.2988085428422462,2021-01-08T08:48:39Z,NA,NA,NA,NA,NA,15.31090825,67.99100867,623.1,14,0.2841668537295532,4.916784697977133,"[0,100]"
513002.7169453949,7541894.441611239,NA,2.2835288071162294,1.2844849540028789,2021-01-08T08:48:40Z,00:00:19,15.3109145,67.99100767,623.1,15,15.3109145,67.99100767,623.1,15,0.28416686267093977,5.200951560648073,"[0,100]"
513002.6453018813,7541894.134646093,NA,2.2580646491795764,1.2701613651635115,2021-01-08T08:48:41Z,NA,NA,NA,NA,NA,15.31091275,67.99100492,623.1500000000001,16,0.31521483790410865,5.516166398552182,"[0,100]"
513002.5736583502,7541893.827680951,NA,2.2326004912429234,1.2558377763241442,2021-01-08T08:48:42Z,00:00:20,15.310911,67.99100217,623.2,17,15.310911,67.99100217,623.2,17,0.3152148373250512,5.831381235877233,"[0,100]"
513002.681533084,7541894.082055203,NA,2.2071363333062703,1.241514187484777,2021-01-08T08:48:43Z,NA,NA,NA,NA,NA,15.31091361,67.99100444666666,623.2,18,0.2763027652937854,6.107684001171018,"[0,100]"
513002.78940779617,7541894.336429457,NA,2.1816721753696173,1.2271905986454097,2021-01-08T08:48:44Z,NA,NA,NA,NA,NA,15.31091622,67.99100672333334,623.2,19,0.2763027594575549,6.383986760628573,"[0,100]"
513002.8972824871,7541894.590803717,[20.435554],2.1562080174329643,1.2128670098060423,2021-01-08T08:48:45Z,00:00:22,15.31091883,67.991009,623.2,20,15.31091883,67.991009,623.2,20,0.27630275628445544,6.6602895169130285,"[0,100]"
513003.10404630186,7541895.056768208,NA,2.177207411844152,1.2246791691623358,2021-01-08T08:48:46Z,00:00:24,15.31092383,67.99101317,623.1,21,15.31092383,67.99101317,623.1,21,0.5097785612951063,7.170068078208135,"[0,100]"
